일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s),평균 상대습도(%),평균 증기압(hPa),평균 해면기압(hPa),합계 일조시간(hr),평균 지면온도(°C)
2020-03-28,7.7,3.2399999999999998,13.4,0.0,4.880000000000001,2.32,28.7,2.9199999999999995,1021.78,9.22,9.16
2020-03-29,7.359999999999999,-1.8,16.080000000000002,0.0,3.94,1.38,49.260000000000005,4.76,1022.1,11.239999999999998,10.08
2020-03-30,8.84,0.7000000000000001,17.22,0.0,3.500000000000001,1.2200000000000002,52.7,5.42,1021.0600000000001,11.440000000000001,11.52
2020-03-31,10.459999999999999,0.66,19.360000000000003,0.0,3.54,1.28,51.839999999999996,5.959999999999999,1018.0,9.520000000000001,12.319999999999999
2020-04-01,11.14,4.720000000000001,19.160000000000004,0.0,6.4,2.2800000000000002,49.339999999999996,6.12,1015.28,8.260000000000002,13.2
2020-04-02,8.36,0.2,16.86,0.0,4.9,1.7399999999999998,57.7,5.720000000000001,1022.6,10.899999999999999,11.759999999999998
2020-04-03,8.959999999999999,0.36,17.560000000000002,0.0,5.22,1.9400000000000002,60.3,6.44,1021.54,11.260000000000002,12.239999999999998
2020-04-04,8.739999999999998,3.38,14.959999999999999,0.0,6.26,2.6,42.82000000000001,4.42,1019.46,10.22,12.02
2020-04-05,7.0200000000000005,-0.2799999999999999,14.559999999999999,0.0,4.9,1.9,36.5,3.5199999999999996,1022.76,11.760000000000002,11.26
2020-04-06,8.28,-0.9,17.46,0.0,4.84,1.7600000000000002,53.779999999999994,5.3,1021.0799999999999,11.099999999999998,12.459999999999999
2020-04-07,9.919999999999998,2.7600000000000002,18.52,0.0,5.220000000000001,1.8399999999999999,64.36,7.68,1016.18,9.24,13.2
2020-04-08,8.84,1.7399999999999998,15.02,0.0,5.74,2.52,42.66,4.38,1018.6,11.76,12.7
2020-04-09,8.36,0.26000000000000006,15.819999999999999,0.0,4.9799999999999995,1.8,54.8,5.7,1022.46,11.419999999999998,13.0
2020-04-10,9.559999999999999,2.66,15.9,0.0,4.1,1.3599999999999999,60.739999999999995,6.88,1024.98,7.6,13.139999999999997
2020-04-11,9.16,3.1599999999999997,16.380000000000003,0.0,4.779999999999999,1.56,68.06,7.5200000000000005,1020.0200000000001,9.260000000000002,13.36
2020-04-12,8.780000000000001,1.6199999999999999,15.179999999999998,0.02,5.66,2.3,64.94,7.08,1015.4399999999999,8.52,12.16
2020-04-13,10.879999999999999,2.84,19.8,0.0,5.3,2.0,45.04,5.24,1014.7,11.040000000000001,14.059999999999999
2020-04-14,11.6,2.4,21.0,0.0,4.7,1.7,48.04,5.92,1016.96,11.92,15.440000000000001
2020-04-15,11.959999999999999,2.7,21.560000000000002,0.0,4.0600000000000005,1.2600000000000002,49.06,6.26,1015.3399999999999,11.0,15.4
2020-04-16,14.580000000000002,5.1,23.419999999999998,0.0,4.239999999999999,1.6199999999999999,49.959999999999994,7.639999999999999,1016.96,10.700000000000001,17.5
2020-04-17,11.319999999999999,8.459999999999999,15.0,8.620000000000001,4.720000000000001,1.8199999999999998,86.4,11.440000000000001,1013.2800000000001,0.58,12.48
2020-04-18,13.16,7.3199999999999985,19.880000000000003,0.52,3.8800000000000003,1.5799999999999998,74.38,10.760000000000002,1016.46,11.34,16.580000000000002
2020-04-19,11.459999999999999,8.379999999999999,16.240000000000002,9.6,4.16,1.3800000000000001,83.35999999999999,10.92,1015.0,0.26,12.559999999999999
2020-04-20,9.8,6.06,13.7,0.38,6.359999999999999,2.3400000000000003,83.26,10.059999999999999,1011.32,1.26,11.260000000000002
2020-04-21,7.0200000000000005,3.3,11.16,0.12,8.08,3.6399999999999997,54.52,5.279999999999999,1014.68,10.379999999999999,9.6
2020-04-22,6.279999999999999,3.6,9.879999999999999,0.0,6.359999999999999,3.66,49.620000000000005,4.739999999999999,1016.74,7.44,8.879999999999999
2020-04-23,7.7,1.3199999999999998,14.280000000000001,0.0,6.659999999999999,2.98,52.019999999999996,5.220000000000001,1016.28,11.120000000000001,10.78
2020-04-24,9.34,0.8400000000000001,15.819999999999999,0.0,8.280000000000001,3.0799999999999996,60.339999999999996,6.8,1013.8599999999999,11.479999999999999,12.719999999999999
2020-04-25,12.48,6.06,19.02,0.0,6.68,3.0000000000000004,62.239999999999995,8.86,1009.96,7.3199999999999985,13.84
2020-04-26,11.74,3.9799999999999995,19.32,0.0,5.66,2.1,53.739999999999995,6.660000000000001,1017.5,11.879999999999999,15.34
2020-04-27,11.180000000000001,4.34,18.139999999999997,0.44000000000000006,5.78,1.7400000000000002,59.6,7.42,1020.1400000000001,9.56,15.040000000000001
2020-04-28,12.760000000000002,3.34,21.1,0.0,5.58,2.1,58.55999999999999,7.9799999999999995,1020.0799999999999,12.22,16.48
2020-04-29,14.02,6.860000000000001,22.240000000000002,0.0,4.6000000000000005,1.7400000000000002,58.4,8.58,1019.72,11.959999999999999,17.8
2020-04-30,15.680000000000001,4.94,24.2,0.0,5.52,1.78,68.56,12.280000000000001,1016.3199999999999,9.86,19.560000000000002
2020-05-01,19.860000000000003,14.719999999999999,27.2,0.04,4.340000000000001,1.78,80.06,18.06,1013.32,6.5200000000000005,22.859999999999996
2020-05-02,19.82,17.159999999999997,24.32,0.1,3.5799999999999996,1.3599999999999999,87.5,20.0,1011.6800000000001,0.8400000000000001,21.3
2020-05-03,20.54,15.540000000000001,26.639999999999997,0.13999999999999999,3.94,1.4,79.12,18.58,1006.3,5.64,22.959999999999997
2020-05-04,19.84,14.26,26.78,0.0,4.1,1.8,71.86,16.2,1008.2,10.059999999999999,25.359999999999996
2020-05-05,14.939999999999998,10.599999999999998,20.8,1.1400000000000001,4.5600000000000005,1.1400000000000001,81.35999999999999,13.580000000000002,1012.1199999999999,3.4,16.94
2020-05-06,17.779999999999998,8.719999999999999,27.18,0.0,3.56,1.16,63.34000000000001,11.52,1014.32,11.08,22.26
2020-05-07,19.4,11.24,25.98,0.0,4.14,1.7,40.7,8.499999999999998,1017.72,9.48,22.68
2020-05-08,18.520000000000003,12.760000000000002,25.74,3.4799999999999995,4.4399999999999995,1.4600000000000002,45.839999999999996,8.8,1015.0,7.56,23.96
2020-05-09,14.459999999999999,12.180000000000001,16.88,31.880000000000003,4.159999999999999,1.9400000000000002,98.0,16.139999999999997,1005.5600000000001,0.0,15.979999999999999
2020-05-10,14.3,12.4,17.339999999999996,0.9,3.4199999999999995,1.5399999999999998,94.82000000000001,15.4,1007.5799999999999,0.28,16.06
2020-05-11,16.32,11.42,22.78,1.2999999999999998,5.319999999999999,1.9600000000000002,67.88000000000001,11.82,1008.18,7.88,18.32
2020-05-12,13.920000000000002,8.84,19.82,1.8199999999999998,5.4,2.12,77.47999999999999,12.020000000000001,1005.6400000000001,6.42,17.32
2020-05-13,15.219999999999999,7.459999999999999,22.940000000000005,0.0,6.960000000000001,2.3,57.7,9.0,1015.68,12.419999999999998,17.8
2020-05-14,17.860000000000003,9.5,25.619999999999997,0.0,3.62,0.9199999999999999,51.32000000000001,9.7,1016.6600000000001,7.279999999999999,19.639999999999997
2020-05-15,15.239999999999998,13.64,19.14,12.32,3.94,1.6800000000000002,90.96000000000001,15.62,1009.5199999999999,0.0,16.18
2020-05-16,16.9,14.580000000000002,20.54,1.02,2.54,0.9400000000000001,93.64000000000001,17.86,1007.0,0.4800000000000001,18.48
2020-05-17,19.1,15.2,24.52,0.04,3.0600000000000005,1.2799999999999998,85.02000000000001,18.500000000000004,1005.5,5.819999999999999,21.8
2020-05-18,18.54,13.02,27.079999999999995,39.2,6.62,2.0,87.58000000000001,18.259999999999998,998.74,4.3,21.58
2020-05-19,12.66,9.16,17.160000000000004,7.9,4.64,1.8800000000000001,82.17999999999999,11.919999999999998,1001.2,3.34,16.6
2020-05-20,13.180000000000001,7.9,19.259999999999998,0.0,3.28,1.1199999999999999,73.16,10.779999999999998,1012.3399999999999,6.5200000000000005,16.919999999999998
2020-05-21,16.14,8.4,22.279999999999994,0.02,2.6599999999999997,0.9,70.47999999999999,12.400000000000002,1015.0,9.540000000000001,19.64
2020-05-22,17.68,12.98,22.560000000000002,0.0,3.3,1.08,79.84,15.9,1013.24,1.98,19.84
2020-05-23,19.5,15.040000000000001,25.080000000000002,0.12,4.02,1.36,74.82000000000001,16.419999999999998,1011.4,7.8,22.54
2020-05-24,17.619999999999997,14.280000000000001,21.919999999999998,13.239999999999998,4.66,2.1999999999999997,87.26,17.4,1009.8799999999999,4.360000000000001,20.1
